id,created,place name,place type,location,favourites_count,body_sent
1443040038745411596,Wed Sep 29 02:28:50 +0000 2021,None,None,"Brooklyn, NY",1862,n
1443040060367048705,Wed Sep 29 02:28:55 +0000 2021,None,None,"Frisco, TX",766,-
1443040061201608709,Wed Sep 29 02:28:55 +0000 2021,"Avondale, AZ",city,"Phoenix, AZ",5243,+
1443040064905224195,Wed Sep 29 02:28:56 +0000 2021,None,None,None,4913,-
1443040071628857362,Wed Sep 29 02:28:58 +0000 2021,None,None,None,42,n
1443040071410753536,Wed Sep 29 02:28:58 +0000 2021,None,None,"Miami, FL",328,n
1443040102007992321,Wed Sep 29 02:29:05 +0000 2021,None,None,None,4151,n
1443040103346016262,Wed Sep 29 02:29:05 +0000 2021,None,None,The Moon,36503,+
1443040106722566148,Wed Sep 29 02:29:06 +0000 2021,None,None,None,21,n
1443040110283481093,Wed Sep 29 02:29:07 +0000 2021,None,None,None,85,n
1443040119338983427,Wed Sep 29 02:29:09 +0000 2021,None,None,"Mooney Mooney, New South Wales",10365,n
1443040122895671301,Wed Sep 29 02:29:10 +0000 2021,None,None,None,205350,n
1443040132815368192,Wed Sep 29 02:29:12 +0000 2021,None,None,"Miami, FL",328,n
1443040138293129223,Wed Sep 29 02:29:14 +0000 2021,None,None,"Toledo, OH",841,+
1443040141359173636,Wed Sep 29 02:29:14 +0000 2021,None,None,Here lies Nudi a Free Elf,8288,n
1443040145582739461,Wed Sep 29 02:29:15 +0000 2021,None,None,None,47,+
1443040154281668612,Wed Sep 29 02:29:17 +0000 2021,None,None,Sask,655,+
1443040157985300485,Wed Sep 29 02:29:18 +0000 2021,None,None,"Wien, Österreich",17070,-
1443040163576352781,Wed Sep 29 02:29:20 +0000 2021,None,None,None,8528,+
1443040165816066054,Wed Sep 29 02:29:20 +0000 2021,None,None,"jacksonville Florida, USA",1008,-
1443040188494610434,Wed Sep 29 02:29:25 +0000 2021,None,None,India,43,-
1443040190075973637,Wed Sep 29 02:29:26 +0000 2021,None,None,None,7215,+
1443040196614778883,Wed Sep 29 02:29:27 +0000 2021,None,None,None,4548,n
1443040200725307397,Wed Sep 29 02:29:28 +0000 2021,None,None,Portugal,14257,+
1443040210351165445,Wed Sep 29 02:29:31 +0000 2021,None,None,None,1587,n
1443040219255693321,Wed Sep 29 02:29:33 +0000 2021,None,None,"Brooklyn, New York",11,+
1443040219893145605,Wed Sep 29 02:29:33 +0000 2021,None,None,None,22,+
1443040226792857603,Wed Sep 29 02:29:35 +0000 2021,None,None,None,5418,+
1443040226750828548,Wed Sep 29 02:29:35 +0000 2021,None,None,None,22,n
1443040238717345793,Wed Sep 29 02:29:37 +0000 2021,None,None,None,7,n
1443040251144986633,Wed Sep 29 02:29:40 +0000 2021,None,None,"New York, NY",10999,+
1443040251161636866,Wed Sep 29 02:29:40 +0000 2021,None,None,"New Delhi, India",449,-
1443040266479292417,Wed Sep 29 02:29:44 +0000 2021,None,None,None,12891,n
1443040269520175111,Wed Sep 29 02:29:45 +0000 2021,None,None,"Phoenix, AZ",4641,n
1443040271957102592,Wed Sep 29 02:29:45 +0000 2021,None,None,"31.707616,-106.192144",6258,-
1443040286045843459,Wed Sep 29 02:29:49 +0000 2021,None,None,"Charlotte, NC",1639,+
1443040288520482821,Wed Sep 29 02:29:49 +0000 2021,None,None,None,15082,n
1443040305817686017,Wed Sep 29 02:29:53 +0000 2021,None,None,Moon,1793,-
1443040306253815810,Wed Sep 29 02:29:54 +0000 2021,None,None,None,36,n
